Month,LogCases
01-01-2011,7.273786318
01-02-2011,7.24636808
01-03-2011,7.777373603
01-04-2011,8.19007705
01-05-2011,8.66042736
01-06-2011,9.041685006
01-07-2011,9.076580382
01-08-2011,8.430109085
01-09-2011,8.046869511
01-10-2011,7.909122183
01-11-2011,8.13446757
01-12-2011,7.470793774
01-01-2012,6.930494766
01-02-2012,7.010311867
01-03-2012,7.469083885
01-04-2012,7.835183755
01-05-2012,8.352554369
01-06-2012,8.710454688
01-07-2012,8.681181042
01-08-2012,7.997999318
01-09-2012,7.659642955
01-10-2012,7.555381944
01-11-2012,7.884199934
01-12-2012,7.088408779
01-01-2013,6.401917197
01-02-2013,6.693323668
01-03-2013,7.022868086
01-04-2013,7.265429723
01-05-2013,7.898782357
01-06-2013,8.228176896
01-07-2013,8.011686729
01-08-2013,7.221105098
01-09-2013,7.021976423
01-10-2013,6.999422468
01-11-2013,7.551712215
01-12-2013,6.455198563
01-01-2014,5.793013608
01-02-2014,5.857933154
01-03-2014,6.293419279
01-04-2014,6.570882962
01-05-2014,6.758094504
01-06-2014,7.819234454
01-07-2014,7.966586698
01-08-2014,7.586296307
01-09-2014,7.124478262
01-10-2014,6.944087208
01-11-2014,7.001245622
01-12-2014,6.930494766
01-01-2015,7.493317249
01-02-2015,5.886104031
01-03-2015,6.385194399
01-04-2015,6.532334292
01-05-2015,7.292337176
01-06-2015,7.477038472
01-07-2015,7.455298486
01-08-2015,7.110696123
01-09-2015,7.047517221
01-10-2015,7.03966035
01-11-2015,6.72982407
01-12-2015,6.573680167
01-01-2016,5.609471795
01-02-2016,5.393627546
01-03-2016,5.966146739
01-04-2016,6.077642243
01-05-2016,6.762729507
01-06-2016,6.970730078
01-07-2016,7.102499356
01-08-2016,6.82437367
01-09-2016,6.69950034
01-10-2016,6.502790046
01-11-2016,6.361302478
01-12-2016,6.01615716
01-01-2017,5.497168225
01-02-2017,5.030437921
01-03-2017,5.356586275
01-04-2017,5.953243334
01-05-2017,6.357842267
01-06-2017,6.628041376
01-07-2017,6.555356892
01-08-2017,6.405228458
01-09-2017,6.452048954
01-10-2017,6.29710932
01-11-2017,6.025865974
01-12-2017,5.513428746
01-01-2018,4.477336814
01-02-2018,3.80666249
01-03-2018,4.477336814
01-04-2018,5.283203729
01-05-2018,5.902633333
01-06-2018,6.841615476
01-07-2018,6.532334292
01-08-2018,6.265301213
01-09-2018,5.66296048
01-10-2018,5.789960171
01-11-2018,5.351858133
01-12-2018,4.682131227
01-01-2019,4.418840608
01-02-2019,3.63758616
01-03-2019,3.688879454
01-04-2019,4.110873864
01-05-2019,4.060443011
01-06-2019,4.779123493
01-07-2019,5.272999559
01-08-2019,5.017279837
01-09-2019,4.605170186
01-10-2019,5.298317367
01-11-2019,5.513428746
01-12-2019,5.111987788
01-01-2020,3.433987204
01-02-2020,2.48490665
01-03-2020,2.63905733
01-04-2020,2.63905733
01-05-2020,3.258096538
01-06-2020,4.234106505
01-07-2020,4.143134726
01-08-2020,4.127134385
01-09-2020,3.988984047
01-10-2020,4.007333185
01-11-2020,4.060443011
01-12-2020,3.258096538
01-01-2021,1.791759469
01-02-2021,2.197224577
01-03-2021,2.564949357
01-04-2021,1.098612289
01-05-2021,1.098612289
01-06-2021,2.48490665
01-07-2021,2.772588722
01-08-2021,3.044522438
01-09-2021,3.135494216
01-10-2021,2.63905733
01-11-2021,3.465735903
01-12-2021,2.48490665
01-01-2022,1.609437912
01-02-2022,1.945910149
01-03-2022,1.386294361
01-04-2022,1.791759469
01-05-2022,3.33220451
01-06-2022,3.828641396
01-07-2022,3.36729583
01-08-2022,3.091042453
01-09-2022,2.944438979
01-10-2022,3.663561646
01-11-2022,4.127134385
01-12-2022,2.564949357
01-01-2023,1.609437912
01-02-2023,1.791759469
01-03-2023,2.197224577
01-04-2023,2.708050201
01-05-2023,3.496507561
01-06-2023,4.110873864
01-07-2023,4.682131227
01-08-2023,4.290459441
01-09-2023,3.663561646
01-10-2023,3.80666249
01-11-2023,4.248495242
01-12-2023,4.634728988
01-01-2024,3.610917913
01-02-2024,1.945910149
01-03-2024,2.397895273
01-04-2024,3.688879454
01-05-2024,4.779123493
01-06-2024,5.117993812
01-07-2024,5.236441963
01-08-2024,4.852030264
01-09-2024,6.146329258
01-10-2024,6.558197803
01-11-2024,7.180069874
01-12-2024,7.525100746
