Month,LogCases
01-01-2011,6.415096959
01-02-2011,6.240275845
01-03-2011,6.364750757
01-04-2011,7.090076836
01-05-2011,7.824445931
01-06-2011,7.862882035
01-07-2011,7.851661178
01-08-2011,7.097548851
01-09-2011,6.8134446
01-10-2011,6.522092798
01-11-2011,6.418364936
01-12-2011,6.063785209
01-01-2012,5.480638923
01-02-2012,5.697093487
01-03-2012,6.313548046
01-04-2012,6.625392368
01-05-2012,7.242797923
01-06-2012,7.504942068
01-07-2012,7.513709248
01-08-2012,7.473069088
01-09-2012,7.074116816
01-10-2012,6.532334292
01-11-2012,6.419994928
01-12-2012,6.06610809
01-01-2013,4.844187086
01-02-2013,4.997212274
01-03-2013,5.513428746
01-04-2013,6.052089169
01-05-2013,6.527957918
01-06-2013,7.13089883
01-07-2013,7.207859871
01-08-2013,6.782192056
01-09-2013,6.295266001
01-10-2013,6.317164687
01-11-2013,5.866468057
01-12-2013,5.455321115
01-01-2014,5.476463552
01-02-2014,5.379897354
01-03-2014,6.025865974
01-04-2014,6.703188113
01-05-2014,7.163946684
01-06-2014,9.484709215
01-07-2014,9.856762754
01-08-2014,8.585225602
01-09-2014,7.579167967
01-10-2014,7.548555979
01-11-2014,7.593374193
01-12-2014,7.356918242
01-01-2015,6.553933404
01-02-2015,5.986452005
01-03-2015,6.335054251
01-04-2015,7.23489842
01-05-2015,7.900636613
01-06-2015,8.559486104
01-07-2015,8.563695025
01-08-2015,8.247220053
01-09-2015,8.108623268
01-10-2015,7.890956716
01-11-2015,7.632885505
01-12-2015,7.227662499
01-01-2016,6.338594078
01-02-2016,5.521460918
01-03-2016,5.831882477
01-04-2016,6.054439346
01-05-2016,7.181591945
01-06-2016,7.809135398
01-07-2016,7.225481473
01-08-2016,6.632001777
01-09-2016,6.29156914
01-10-2016,6.23636959
01-11-2016,6.169610732
01-12-2016,5.916202063
01-01-2017,4.96284463
01-02-2017,4.804021045
01-03-2017,5.068904202
01-04-2017,5.780743516
01-05-2017,6.508769137
01-06-2017,7.349230825
01-07-2017,7.028201432
01-08-2017,6.870053412
01-09-2017,6.326149473
01-10-2017,6.293419279
01-11-2017,6.257667588
01-12-2017,5.66296048
01-01-2018,5.332718793
01-02-2018,4.510859507
01-03-2018,5.33753808
01-04-2018,6.159095388
01-05-2018,7.162397497
01-06-2018,7.343426229
01-07-2018,7.271703707
01-08-2018,7.406103381
01-09-2018,7.679251426
01-10-2018,7.415776975
01-11-2018,7.28756064
01-12-2018,6.546785411
01-01-2019,5.605802066
01-02-2019,4.828313737
01-03-2019,5.111987788
01-04-2019,6.063785209
01-05-2019,7.006695227
01-06-2019,8.125630988
01-07-2019,7.776115477
01-08-2019,7.248504072
01-09-2019,6.869014451
01-10-2019,6.727431725
01-11-2019,6.762729507
01-12-2019,6.232448017
01-01-2020,4.852030264
01-02-2020,4.276666119
01-03-2020,3.871201011
01-04-2020,4.077537444
01-05-2020,5.252273428
01-06-2020,6.754604099
01-07-2020,6.742880636
01-08-2020,5.752572639
01-09-2020,5.303304908
01-10-2020,5.241747015
01-11-2020,5.81711116
01-12-2020,5.010635294
01-01-2021,3.828641396
01-02-2021,2.63905733
01-03-2021,3.828641396
01-04-2021,4.615120517
01-05-2021,4.890349128
01-06-2021,6.899723107
01-07-2021,7.564238475
01-08-2021,7.363913501
01-09-2021,7.281385664
01-10-2021,7.44716836
01-11-2021,7.33628566
01-12-2021,6.388561406
01-01-2022,6.242223265
01-02-2022,5.739792912
01-03-2022,5.533389489
01-04-2022,6.599870499
01-05-2022,7.07834158
01-06-2022,8.263848131
01-07-2022,7.576097341
01-08-2022,7.135687347
01-09-2022,6.638567789
01-10-2022,6.423246964
01-11-2022,6.513230111
01-12-2022,6.445719819
01-01-2023,5.998936562
01-02-2023,5.525452939
01-03-2023,5.81711116
01-04-2023,6.902742737
01-05-2023,7.77443551
01-06-2023,8.318010278
01-07-2023,8.428143375
01-08-2023,8.286773231
01-09-2023,7.619724214
01-10-2023,7.192182059
01-11-2023,7.13169851
01-12-2023,6.66949809
01-01-2024,5.998936562
01-02-2024,5.918893854
01-03-2024,5.545177444
01-04-2024,6.447305863
01-05-2024,7.327123292
01-06-2024,7.916078096
01-07-2024,7.395107547
01-08-2024,6.650279049
01-09-2024,6.12905021
01-10-2024,6.167516491
01-11-2024,6.232448017
01-12-2024,5.82008293
